status,ausser_betrieb,kuerzel,betreiber,longitude,bundesland,standort,image_url,wikipedia_url,latitude,bezeichnung,typ
In Betrieb,2022-12-31,KKI 2,E.ON,12.29315,Bayern,Isar/Ohu,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/KKI.jpg/300px-KKI.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Isar,48.6056055556,Isar/Ohu 2,DWR
In Betrieb,2021-12-31,KBR,E.ON,9.34472222222,Schleswig-Holstein,Brokdorf,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kernkraftwerk_Borkdorf_2.jpg/300px-Kernkraftwerk_Borkdorf_2.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Brokdorf,53.8508333333,Brokdorf,DWR
In Betrieb,2019-12-31,KKP 2,EnBW,8.43643611111,Baden-Württemberg,Philippsburg,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Philippsburg2.jpg/300px-Philippsburg2.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Philippsburg,49.2527222222,Philippsburg 2,DWR
In Betrieb,2021-12-31,KWG,E.ON,9.41333333333,Niedersachsen,Grohnde,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/KKW_Grohnde_Weser.jpg/300px-KKW_Grohnde_Weser.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Grohnde,52.0352777778,Grohnde,DWR
Außer Betrieb,2011-08-06,KKU,E.ON,8.48019722222,Niedersachsen,Unterweser,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/8/80/KKW-Unterweser.jpg/300px-KKW-Unterweser.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Unterweser,53.4277,Unterweser,DWR
Außer Betrieb,2011-08-06,KKK,Vattenfall,10.4088888889,Schleswig-Holstein,Krümmel,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Kernkraftwerk_Kruemmel_Side_retouched.jpg/300px-Kernkraftwerk_Kruemmel_Side_retouched.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Kr%C3%BCmmel,53.41,Krümmel,SWR
In Betrieb,2022-12-31,KKE,RWE,7.31785833333,Niedersachsen,Emsland,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Kkw_ems_pano2.jpg/300px-Kkw_ems_pano2.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Emsland,52.4742305556,Emsland,DWR
In Betrieb,2022-12-31,GKN 2,EnBW,9.175,Baden-Württemberg,Neckarwestheim,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Atomkraftwerk_GKN_Neckarwestheim.JPG/300px-Atomkraftwerk_GKN_Neckarwestheim.JPG,http://de.wikipedia.org/wiki/Kernkraftwerk_Neckarwestheim,49.0411111111,Neckarwestheim 2,DWR
In Betrieb,2015-12-31,KKG,E.ON,10.1846694444,Bayern,Grafenrheinfeld,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Kernkraftwerk_Grafenrheinfeld_1.jpg/300px-Kernkraftwerk_Grafenrheinfeld_1.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Grafenrheinfeld,49.9840861111,Grafenrheinfeld,DWR
In Betrieb,2021-12-31,KGG C,RWE,10.4022222222,Bayern,Gundremmingen,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Gundremmingen_Nuclear_Power_Plant.jpg/300px-Gundremmingen_Nuclear_Power_Plant.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Gundremmingen,48.5147222222,Gundremmingen C,SWR
In Betrieb,2017-12-31,KGG B,RWE,10.4022222222,Bayern,Gundremmingen,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Gundremmingen_Nuclear_Power_Plant.jpg/300px-Gundremmingen_Nuclear_Power_Plant.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Gundremmingen,48.5147222222,Gundremmingen B,SWR
Im Rückbau (bis 2014),1988-09-09,KMK,RWE,7.48972222222,Rheinland-Pfalz,Mülheim-Kärlich,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Kernkraftwerk_M%C3%BClheim-K%C3%A4rlich.jpg/300px-Kernkraftwerk_M%C3%BClheim-K%C3%A4rlich.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_M%C3%BClheim-K%C3%A4rlich,50.4077777778,Mülheim-Kärlich,DWR
Außer Betrieb,2011-08-06,KWB B,RWE,8.41527777778,Hessen,Biblis,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/KKW_Biblis_Gesamtansicht_vom_linken_Rheinufer.JPG/300px-KKW_Biblis_Gesamtansicht_vom_linken_Rheinufer.JPG,http://de.wikipedia.org/wiki/Kernkraftwerk_Biblis,49.71,Biblis B,DWR
Außer Betrieb,2011-08-06,KWB A,RWE,8.41527777778,Hessen,Biblis,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/KKW_Biblis_Gesamtansicht_vom_linken_Rheinufer.JPG/300px-KKW_Biblis_Gesamtansicht_vom_linken_Rheinufer.JPG,http://de.wikipedia.org/wiki/Kernkraftwerk_Biblis,49.71,Biblis A,DWR
Außer Betrieb,2011-08-06,KKP 1,EnBW,8.43643611111,Baden-Württemberg,Philippsburg,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Philippsburg2.jpg/300px-Philippsburg2.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Philippsburg,49.2527222222,Philippsburg 1,SWR
Außer Betrieb,2011-08-06,KKI 1,E.ON,12.29315,Bayern,Isar/Ohu,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/KKI.jpg/300px-KKI.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Isar,48.6056055556,Isar/Ohu 1,SWR
Außer Betrieb,2011-08-06,GKN 1,EnBW,9.175,Baden-Württemberg,Neckarwestheim,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Atomkraftwerk_GKN_Neckarwestheim.JPG/300px-Atomkraftwerk_GKN_Neckarwestheim.JPG,http://de.wikipedia.org/wiki/Kernkraftwerk_Neckarwestheim,49.0411111111,Neckarwestheim 1,DWR
Außer Betrieb,2011-08-06,KKB,Vattenfall,9.20166666667,Schleswig-Holstein,Brunsbüttel,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Kernkraftwerk_Brunsb%C3%BCttel_-_Landseite.jpg/300px-Kernkraftwerk_Brunsb%C3%BCttel_-_Landseite.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Brunsb%C3%BCttel,53.8916666667,Brunsbüttel,SWR
Im Rückbau (bis 2015),2003-11-14,KKS,E.ON,9.53083333333,Niedersachsen,Stade,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/AKW_Stade.JPG/300px-AKW_Stade.JPG,http://de.wikipedia.org/wiki/Kernkraftwerk_Stade,53.62,Stade,DWR
Im Rückbau (bis 2014),1994-08-26,KWW,E.ON,9.39138888889,Nordrhein-Westfalen,Würgassen,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/AKW_Wuergassen_2002.jpg/300px-AKW_Wuergassen_2002.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_W%C3%BCrgassen,51.6391666667,Würgassen,SWR
Im Rückbau (bis 2012),1990-12-18,KGR 1,,13.6644222222,Mecklenburg-Vorpommern,Greifswald,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Lubmin_Hafen.jpg/300px-Lubmin_Hafen.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Greifswald,54.1405861111,Greifswald 1,WWER
Im Rückbau (bis 2012),1990-02-14,KGR 2,,13.6644222222,Mecklenburg-Vorpommern,Greifswald,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Lubmin_Hafen.jpg/300px-Lubmin_Hafen.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Greifswald,54.1405861111,Greifswald 2,WWER
Im Rückbau (bis 2012),1990-02-28,KGR 3,,13.6644222222,Mecklenburg-Vorpommern,Greifswald,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Lubmin_Hafen.jpg/300px-Lubmin_Hafen.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Greifswald,54.1405861111,Greifswald 3,WWER
Im Rückbau (bis 2012),1990-06-02,KGR 4,,13.6644222222,Mecklenburg-Vorpommern,Greifswald,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Lubmin_Hafen.jpg/300px-Lubmin_Hafen.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Greifswald,54.1405861111,Greifswald 4,WWER
Im Rückbau (bis 2012),1989-11-24,KGR 5,,13.6644222222,Mecklenburg-Vorpommern,Greifswald,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Lubmin_Hafen.jpg/300px-Lubmin_Hafen.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Greifswald,54.1405861111,Greifswald 5,WWER
Im Rückbau (bis 2020),2005-05-11,KWO,EnBW,9.07627222222,Baden-Württemberg,Obrigheim,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kernkraftwerk_Obrigheim_2009.JPG/300px-Kernkraftwerk_Obrigheim_2009.JPG,http://de.wikipedia.org/wiki/Kernkraftwerk_Obrigheim,49.3645361111,Obrigheim,DWR
Im sicheren Einschluss[12] (bis 2030),1988-04-29,THTR,,7.97155833333,Nordrhein-Westfalen,Hamm-Uentrop,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Thtr300_kuehlturm.jpg/300px-Thtr300_kuehlturm.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_THTR-300,51.6792972222,Hamm-Uentrop,HTR
Im sicheren Einschluss,1977-01-05,KWL,VEW/RWE,7.30689722222,Niedersachsen,Lingen,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Kernkraftwerk_Lingen_2010-1.JPG/300px-Kernkraftwerk_Lingen_2010-1.JPG,http://de.wikipedia.org/wiki/Kernkraftwerk_Lingen,52.4828111111,Lingen,SWR
rückgebaut,1977-01-13,KGG A,,10.4022222222,Bayern,Gundremmingen,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Gundremmingen_Nuclear_Power_Plant.jpg/300px-Gundremmingen_Nuclear_Power_Plant.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Gundremmingen,48.5147222222,Gundremmingen A,SWR
rückgebaut,1974-07-31,KKN,,12.3039861111,Bayern,Niederaichbach,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Bundesarchiv_B_145_Bild-F078667-0007%2C_Kernkraftwerk_Niederaichbach_%28KKN%29.jpg/300px-Bundesarchiv_B_145_Bild-F078667-0007%2C_Kernkraftwerk_Niederaichbach_%28KKN%29.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Niederaichbach,48.6046277778,Niederaichbach,HWCR
Im Rückbau (bis 2020),1990-06-01,KKR,,12.99015,Brandenburg,Rheinsberg,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Bundesarchiv_Bild_183-1990-0427-403%2C_Atomkraftwerk_Rheinsberg.jpg/300px-Bundesarchiv_Bild_183-1990-0427-403%2C_Atomkraftwerk_Rheinsberg.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Rheinsberg,53.1469916667,Rheinsberg,WWER
Im Rückbau (bis 2015),1984-05-03,MZFR,,8.43233888889,Baden-Württemberg,MZFR Karlsruhe,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Baden-Wuerttemberg_location_map.svg/320px-Baden-Wuerttemberg_location_map.svg.png,http://de.wikipedia.org/wiki/Mehrzweckforschungsreaktor_Karlsruhe,49.1042472222,MZFR Karlsruhe,DWR
rückgebaut,1971-04-20,HDR,,8.98713055556,Bayern,Großwelzheim,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Bavaria_location_map.svg/320px-Bavaria_location_map.svg.png,http://de.wikipedia.org/wiki/Kernkraftwerk_Gro%C3%9Fwelzheim,50.0581416667,Großwelzheim,HDR
Im Rückbau (bis 2013),1974-09-01,KNK I,,8.43288660049,Baden-Württemberg,KNK Karlsruhe,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Baden-Wuerttemberg_location_map.svg/320px-Baden-Wuerttemberg_location_map.svg.png,http://de.wikipedia.org/wiki/Kompakte_Natriumgek%C3%BChlte_Kernreaktoranlage_Karlsruhe,49.0993439987,KNK Karlsruhe I,SNB
Im Rückbau (bis 2013),1991-08-23,KNK II,,8.43288660049,Baden-Württemberg,KNK Karlsruhe,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Baden-Wuerttemberg_location_map.svg/320px-Baden-Wuerttemberg_location_map.svg.png,http://de.wikipedia.org/wiki/Kompakte_Natriumgek%C3%BChlte_Kernreaktoranlage_Karlsruhe,49.0993439987,KNK Karlsruhe II,SBR
rückgebaut,1985-11-25,VAK,,8.98727777778,Bayern,Kahl,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/VAK_Kahl.jpg/300px-VAK_Kahl.jpg,http://de.wikipedia.org/wiki/Kernkraftwerk_Kahl,50.0591194444,Kahl,SWR
Im Rückbau (bis ca. 2075),1988-12-31,AVR,,6.42120833333,Nordrhein-Westfalen,Jülich,http://de.wikipedia.org//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Hogetemperatuurreactor-3.JPG/300px-Hogetemperatuurreactor-3.JPG,http://de.wikipedia.org/wiki/AVR_(J%C3%BClich),50.9029361111,Jülich,HTR
